Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759424867990,7635.142852783203,2320,1,0.78125,7635.142852783203,2320,1,0.78125,7580.08366394043,2320,1,0.7875,7580.08366394043,2320,1,0.7875,9067.039520263672,2320,1,0.78125,9067.039520263672,2320,1,0.78125,7154.834716796875,2320,1,0.78125,7154.834716796875,2320,1,0.78125,9047.890060424805,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,8.571429252624512,5.882352828979492,16.666667938232422,8.333333969116211,5.882352828979492,5.714285850524902,14.705883026123047,6.060606002807617,5.882352828979492,5.882352828979492,11.428571701049805,5.714285850524902,3.0303030014038086,5.714285850524902,3.0303030014038086,2.941176414489746,13958320128,0,9277124608,0
199,1759424867990,7635.143218994141,2900,1,0.88125,7635.143218994141,2900,1,0.88125,7580.083877563477,2320,1,0.7875,7580.083877563477,2320,1,0.7875,9067.039688110352,2320,1,0.78125,9067.039688110352,2320,1,0.78125,7154.834884643555,2320,1,0.78125,7154.834884643555,2320,1,0.78125,9047.897247314453,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,8.571429252624512,5.882352828979492,16.666667938232422,8.333333969116211,5.882352828979492,5.714285850524902,14.705883026123047,6.060606002807617,5.882352828979492,5.882352828979492,11.428571701049805,5.714285850524902,3.0303030014038086,5.714285850524902,3.0303030014038086,2.941176414489746,13958320128,0,9277124608,0
199,1759424868190,7635.172164916992,3560,0,1.025,7635.172164916992,3560,0,1.025,7580.1119384765625,3560,0,1.025,7580.1119384765625,3560,0,1.025,9067.061447143555,3560,0,1.025,9067.061447143555,3560,0,1.025,7154.858612060547,3560,0,1.03125,7154.858612060547,3560,0,1.03125,9050.857040405273,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,77.77777862548828,0,4.761904716491699,0,9.090909004211426,8.69565200805664,0,0,4.761904716491699,0,0,0,0,0,13958320128,0,9298280448,0
199,1759424868391,7635.206146240234,2320,1,0.78125,7635.206146240234,2320,1,0.78125,7580.132995605469,2320,1,0.7875,7580.132995605469,2320,1,0.7875,9067.106811523438,2320,1,0.78125,9067.106811523438,2320,1,0.78125,7154.883102416992,2320,1,0.78125,7154.883102416992,2320,1,0.78125,9053.718399047852,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,4.761904716491699,0,57.894737243652344,0,0,0,0,0,0,0,0,0,9.090909004211426,0,0,0,13958320128,0,9307570176,0
200,1759424868591,7635.206527709961,1920,1,0.725,7635.206527709961,1920,1,0.725,7580.153015136719,1920,1,0.725,7580.153015136719,1920,1,0.725,9067.13005065918,1920,1,0.71875,9067.13005065918,2320,1,0.71875,7154.894714355469,2320,1,0.78125,7154.894714355469,2320,1,0.78125,9054.68002319336,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,9.523809432983398,0,0,0,0,0,5,0,5,0,0,0,4.761904716491699,0,13958320128,0,9309302784,0
199,1759424868791,7635.222091674805,2900,1,0.88125,7635.222091674805,2900,1,0.88125,7580.160705566406,2320,1,0.7875,7580.160705566406,2320,1,0.7875,9067.145736694336,2320,1,0.78125,9067.145736694336,2320,1,0.78125,7154.903091430664,2320,1,0.78125,7154.903091430664,2320,1,0.78125,9055.472885131836,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,4.761904716491699,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13958320128,0,9309089792,0
199,1759424868991,7635.23616027832,2320,1,0.78125,7635.23616027832,2320,1,0.78125,7580.171310424805,2320,1,0.7875,7580.171310424805,2320,1,0.7875,9067.174499511719,2320,1,0.78125,9067.174499511719,2320,1,0.78125,7154.90657043457,2320,1,0.78125,7154.90657043457,2320,1,0.78125,9056.332489013672,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,5,0,0,0,4.761904716491699,0,0,0,0,0,10,0,0,0,0,4.761904716491699,13958320128,0,9309089792,0
199,1759424869191,7635.254287719727,1920,1,0.725,7635.254287719727,2320,1,0.725,7580.17805480957,2320,1,0.7875,7580.17805480957,2320,1,0.7875,9067.186279296875,2320,1,0.78125,9067.186279296875,2320,1,0.78125,7154.916946411133,2320,1,0.78125,7154.916946411133,2320,1,0.78125,9057.152633666992,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,5,0,0,0,4.761904716491699,0,0,0,0,0,10,0,0,0,0,4.761904716491699,13958320128,0,9307955200,0
199,1759424869391,7635.291244506836,1920,1,0.725,7635.291244506836,1920,1,0.725,7580.189498901367,1920,1,0.725,7580.189498901367,1920,1,0.725,9067.196258544922,1920,1,0.71875,9067.196258544922,2320,1,0.78125,7154.920227050781,2320,1,0.78125,7154.920227050781,2320,1,0.78125,9057.995376586914,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,2.5,0,2.5641026496887207,2.5,0,0,4.878048419952393,0,2.5,0,2.5,0,0,0,0,0,13958320128,0,9307717632,0
199,1759424869591,7635.301696777344,2320,1,0.76875,7635.301696777344,2320,1,0.76875,7580.196472167969,2320,1,0.7875,7580.196472167969,2320,1,0.7875,9067.209533691406,2320,1,0.78125,9067.209899902344,2320,1,0.78125,7154.922775268555,2320,1,0.78125,7154.922775268555,2320,1,0.78125,9058.758834838867,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,5,0,0,5,0,0,4.761904716491699,0,5,0,0,0,0,0,5,0,13958320128,0,9307426816,0
199,1759424869792,7635.337966918945,2320,1,0.78125,7635.337966918945,2320,1,0.78125,7580.215072631836,2900,1,0.8875,7580.215072631836,2900,1,0.8875,9067.216842651367,2320,1,0.78125,9067.216842651367,2320,1,0.78125,7154.925521850586,2320,1,0.78125,7154.925521850586,2320,1,0.78125,9059.524230957031,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,5,0,0,5,0,0,4.761904716491699,0,5,0,0,0,0,0,5,0,13958320128,0,9307328512,0
200,1759424869992,7635.357437133789,2320,1,0.76875,7635.357437133789,2320,1,0.76875,7580.229644775391,2320,1,0.7875,7580.229644775391,2320,1,0.7875,9067.229965209961,2320,1,0.78125,9067.229965209961,2320,1,0.78125,7154.936935424805,2320,1,0.78125,7154.936935424805,2320,1,0.78125,9060.465286254883,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,5.263157844543457,0,5,0,0,0,0,0,5,0,5,0,0,0,13958320128,0,9306984448,0
200,1759424870192,7635.366027832031,2320,1,0.76875,7635.366027832031,2320,1,0.76875,7580.230010986328,2320,1,0.7875,7580.230026245117,2320,1,0.7875,9067.24935913086,2320,1,0.78125,9067.24935913086,2320,1,0.78125,7154.943069458008,2320,1,0.78125,7154.943069458008,2320,1,0.78125,9061.34831237793,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,10,0,0,0,9.090909004211426,4.761904716491699,4.761904716491699,0,0,0,0,0,5,4.761904716491699,13958320128,0,9306607616,0
199,1759424870393,7635.388473510742,2320,1,0.78125,7635.388473510742,2320,1,0.78125,7580.237091064453,2320,1,0.7875,7580.237091064453,2320,1,0.7875,9067.259826660156,2320,1,0.78125,9067.259826660156,2320,1,0.78125,7154.944061279297,2320,1,0.78125,7154.944061279297,2320,1,0.78125,9062.050689697266,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,5,0,5,0,9.090909004211426,0,0,0,4.761904716491699,0,0,0,0,0,0,0,13958320128,0,9306607616,0
199,1759424870593,7635.3974609375,1400,1,0.70625,7635.3974609375,1400,1,0.70625,7580.242691040039,2320,1,0.7875,7580.242691040039,2320,1,0.7875,9067.268966674805,2320,1,0.78125,9067.268966674805,2320,1,0.78125,7154.945068359375,2320,1,0.78125,7154.945068359375,2320,1,0.78125,9062.779693603516,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,9.523809432983398,0,0,0,5,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,13958320128,0,9306607616,0
200,1759424870793,7635.398590087891,2320,1,0.78125,7635.398590087891,2320,1,0.78125,7580.25080871582,2320,1,0.7875,7580.252212524414,2320,1,0.7875,9067.281021118164,2320,1,0.78125,9067.281021118164,2320,1,0.78125,7154.952896118164,2320,1,0.78125,7154.952896118164,2320,1,0.78125,9063.594635009766,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13958320128,0,9300332544,0
199,1759424870993,7635.401184082031,2320,1,0.78125,7635.401184082031,2320,1,0.78125,7580.255722045898,2320,1,0.7875,7580.255722045898,2320,1,0.7875,9067.289916992188,2320,1,0.78125,9067.289916992188,2320,1,0.78125,7154.962265014648,2320,1,0.78125,7154.962265014648,2320,1,0.78125,9064.394561767578,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,5.263157844543457,0,4.761904716491699,4.761904716491699,5,0,0,0,0,0,0,0,0,0,13958320128,0,9299746816,0
199,1759424871193,7635.403793334961,2320,1,0.78125,7635.403793334961,2320,1,0.78125,7580.260818481445,2320,1,0.7875,7580.260848999023,2320,1,0.7875,9067.30160522461,2320,1,0.78125,9067.30160522461,2320,1,0.78125,7154.969772338867,2320,1,0.78125,7154.969772338867,2320,1,0.78125,9065.139877319336,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,0,0,5.263157844543457,0,5,0,5,4.761904716491699,0,0,9.090909004211426,0,0,0,5,0,13958320128,0,9299746816,0
199,1759424871393,7635.427505493164,2320,1,0.78125,7635.427505493164,2320,1,0.78125,7580.271713256836,2320,1,0.7875,7580.271713256836,2320,1,0.7875,9067.310806274414,2320,1,0.78125,9067.310806274414,2320,1,0.78125,7154.971298217773,2320,1,0.78125,7154.971298217773,2320,1,0.78125,9065.903411865234,4441,2443,3552,1102,4124,3607,4442,3618,3958,3640,4441,1102,3549,3963,3552,1102,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,13958320128,0,9299746816,0
