__run_id,__done,ocr_library,document_type,dataset,sample_size,language,energy,runtime,memory
run_4_repetition_1,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,32.344390869140625,4.605562,9661394944
run_26_repetition_0,DONE,tesseract,slides,Omni_Dataset,1,eng,10.791168212890625,0.803042,9585623040
run_23_repetition_0,DONE,tesseract,Newspaper,Omni_Dataset,10,eng,1506.3283996582031,75.235306,10490343424
run_5_repetition_0,DONE,paddle,Old_books_No_noise,Noisy_Dataset,10,eng,42.712066650390625,6.811721,9717985280
run_18_repetition_8,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,1,eng,4.4394378662109375,0.4039272,9506045952
run_1_repetition_6,DONE,paddle,Old_books_2noise,Noisy_Dataset,10,eng,2744.483139038086,116.25315,13435469824
run_3_repetition_2,TODO,paddle,Old_books_Arabic,Noisy_Dataset,10,ara, , , 
run_10_repetition_9,DONE,paddle,notes,Omni_Dataset,1,eng,314.5260925292969,17.811861,12220317696
run_27_repetition_4,DONE,tesseract,slides,Omni_Dataset,10,eng,102.86131286621094,5.004284,9757933568
run_19_repetition_6,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,10,eng,4.649169921875,0.40305382,9454006272
run_15_repetition_1,DONE,tesseract,Old_books_2noise,Noisy_Dataset,10,eng,168.9846954345703,8.005685,9627656192
run_4_repetition_0,DONE,paddle,Old_books_No_noise,Noisy_Dataset,1,eng,24.682937622070312,3.807148,9454424064
run_21_repetition_8,DONE,tesseract,Book,Omni_Dataset,10,eng,149.3168487548828,7.005163,9689313280
run_2_repetition_9,TODO,paddle,Old_books_Arabic,Noisy_Dataset,1,ara, , , 
run_17_repetition_8,DONE,tesseract,Old_books_Arabic,Noisy_Dataset,10,ara,20.651229858398438,1.4039131,9447387136
run_18_repetition_6,DONE,tesseract,Old_books_No_noise,Noisy_Dataset,1,eng,4.2388153076171875,0.40317705,9407217664
run_3_repetition_0,TODO,paddle,Old_books_Arabic,Noisy_Dataset,10,ara, , , 
run_6_repetition_2,DONE,paddle,Book,Omni_Dataset,1,eng,389.11431884765625,19.813587,12472311808
run_14_repetition_2,DONE,tesseract,Old_books_2noise,Noisy_Dataset,1,eng,16.107818603515625,1.0039029,9625116672
run_9_repetition_2,TODO,paddle,Newspaper,Omni_Dataset,10,eng, , , 
run_15_repetition_9,DONE,tesseract,Old_books_2noise,Noisy_Dataset,10,eng,174.1271514892578,8.406539,9446637568
run_5_repetition_3,DONE,paddle,Old_books_No_noise,Noisy_Dataset,10,eng,27.342025756835938,4.006697,9289080832
run_20_repetition_8,DONE,tesseract,Book,Omni_Dataset,1,eng,21.068511962890625,1.2036483,9325895680
run_13_repetition_4,DONE,paddle,slides,Omni_Dataset,10,eng,1907.1866455078125,80.239006,12390723584
run_23_repetition_6,DONE,tesseract,Newspaper,Omni_Dataset,10,eng,1469.8656311035156,75.03213,10275405824
run_3_repetition_8,TODO,paddle,Old_books_Arabic,Noisy_Dataset,10,ara, , , 
run_10_repetition_6,DONE,paddle,notes,Omni_Dataset,1,eng,301.23406982421875,15.81366,11932102656
run_22_repetition_9,DONE,tesseract,Newspaper,Omni_Dataset,1,eng,85.1041259765625,4.2061625,9478934528
run_26_repetition_8,DONE,tesseract,slides,Omni_Dataset,1,eng,11.69012451171875,0.8034046,9347010560
run_1_repetition_2,DONE,paddle,Old_books_2noise,Noisy_Dataset,10,eng,2703.779800415039,114.45117,13238747136
