Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1760611301885,51516.103118896484,3560,0,1.025,51516.103118896484,3560,0,1.025,52060.0276184082,3560,0,1.025,52060.0276184082,3560,0,1.025,62809.546646118164,3560,0,1.025,62809.546646118164,3560,0,1.025,49779.34178161621,3560,0,1.025,49779.34178161621,3560,0,1.025,35402.19902038574,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,2.4390242099761963,0,2.5641026496887207,2.4390242099761963,2.4390242099761963,0,4.761904716491699,0,2.4390242099761963,0,2.5,0,2.4390242099761963,0,4.761904716491699,2.5,13958311936,0,2211721216,0
200,1760611301885,51516.103118896484,3560,0,1.025,51516.103118896484,3560,0,1.025,52060.0276184082,3560,0,1.025,52060.0276184082,3560,0,1.025,62809.546646118164,4450,0,1.2875,62809.546646118164,4450,0,1.2875,49779.348220825195,3560,0,1.025,49779.348220825195,3560,0,1.025,35402.222732543945,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,2.4390242099761963,0,2.5641026496887207,2.4390242099761963,2.4390242099761963,0,4.761904716491699,0,2.4390242099761963,0,2.5,0,2.4390242099761963,0,4.761904716491699,2.5,13958311936,0,2211721216,0
200,1760611302085,51516.11703491211,3560,0,1.025,51516.11703491211,3560,0,1.025,52060.03364562988,3560,0,1.025,52060.03364562988,3560,0,1.025,62809.55862426758,3560,0,1.025,62809.55862426758,3560,0,1.025,49779.35871887207,3560,0,1.025,49779.35871887207,3560,0,1.025,35406.231704711914,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,13958311936,0,2244567040,0
199,1760611302286,51516.13397216797,3560,0,1.025,51516.13397216797,4450,0,1.28125,52060.046630859375,4450,0,1.28125,52060.046630859375,4450,0,1.28125,62809.564224243164,4450,0,1.2875,62809.564224243164,4450,0,1.2875,49779.36071777344,3560,0,1.025,49779.36071777344,3560,0,1.025,35407.613998413086,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,0,0,5,0,14.285715103149414,0,0,0,0,0,0,0,0,0,13958311936,0,2250207232,0
200,1760611302486,51516.13636779785,4450,0,1.28125,51516.13636779785,4450,0,1.28125,52060.047119140625,3560,0,1.025,52060.047119140625,3560,0,1.025,62809.57063293457,4450,0,1.2875,62809.57063293457,4450,0,1.2875,49779.36143493652,3560,0,1.025,49779.36143493652,3560,0,1.025,35408.01823425293,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,0,0,5,0,14.285715103149414,0,0,0,0,0,0,0,0,0,13958311936,0,2251898880,0
200,1760611302686,51516.13984680176,3560,0,1.025,51516.13984680176,3560,0,1.025,52060.05082702637,3560,0,1.025,52060.05082702637,3560,0,1.025,62809.58126831055,4450,0,1.2875,62809.58126831055,4450,0,1.2875,49779.36349487305,3560,0,1.025,49779.36349487305,3560,0,1.025,35408.46455383301,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2251898880,0
200,1760611302887,51516.141830444336,3560,0,1.025,51516.1418762207,3560,0,1.025,52060.05088806152,3560,0,1.025,52060.05088806152,3560,0,1.025,62809.5856628418,4450,0,1.2875,62809.5856628418,4450,0,1.2875,49779.36357116699,3560,0,1.025,49779.36357116699,3560,0,1.025,35408.932540893555,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2251898880,0
200,1760611303087,51516.142013549805,3560,0,1.025,51516.142013549805,3560,0,1.025,52060.0509185791,3560,0,1.025,52060.0509185791,3560,0,1.025,62809.58590698242,3560,0,1.025,62809.58590698242,3560,0,1.025,49779.36360168457,3560,0,1.025,49779.36360168457,3560,0,1.025,35409.31234741211,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2251898880,0
200,1760611303287,51516.145248413086,3560,0,1,51516.145248413086,3560,0,1,52060.05358886719,3560,0,1.00625,52060.05358886719,3560,0,1.00625,62809.58598327637,3560,0,1.025,62809.58598327637,3560,0,1.025,49779.363708496094,3560,0,1.025,49779.363708496094,3560,0,1.025,35409.81655883789,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,13958311936,0,2251898880,0
200,1760611303488,51516.14668273926,3560,0,1.025,51516.14668273926,3560,0,1.025,52060.05473327637,3560,0,1.025,52060.05473327637,3560,0,1.025,62809.58612060547,3560,0,1.025,62809.58612060547,3560,0,1.025,49779.36373901367,3560,0,1.025,49779.36373901367,3560,0,1.025,35410.27633666992,3552,1102,4441,1102,4018,3713,2672,3791,3552,1102,1102,3552,3581,1102,1102,3567,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,13958311936,0,2251898880,0
